08/11 14:34:00 FINE sim.Admin|Log for simulation 1 started
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.1459866699448223 Cmp ID: 273507228 Cmp Bid: 9513
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.1506182439698992 Cmp ID: 273507228 Cmp Bid: 15037
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.16530655889034263 Cmp ID: 273507228 Cmp Bid: 6310
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.16741924618304121 Cmp ID: 273507228 Cmp Bid: 16943
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.18309418823507076 Cmp ID: 273507228 Cmp Bid: 18208
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.19231867843365785 Cmp ID: 273507228 Cmp Bid: 19851
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.18667912877464585 Cmp ID: 273507228 Cmp Bid: 5377
08/11 14:34:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.11567328915716815 Cmp ID: 273507228 Cmp Bid: 7647
08/11 14:34:10 INFO sim.Simulation|***** START OF TIME 1 *****
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1208878884 at price 9.54
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1208878884 at price 9.54
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1497097527 at price 3.037
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1497097527 at price 3.037
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #140321219 at price 9.54
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #140321219 at price 9.54
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #962238266 at price 1.932
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #962238266 at price 1.932
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2040881732 at price 1.932
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #2040881732 at price 1.932
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1565617064 at price 10.952
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1565617064 at price 10.952
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #794733556 at price 7.02
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #794733556 at price 7.02
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1064004131 at price 6.507
08/11 14:34:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1064004131 at price 6.507
08/11 14:34:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=273507228, reachImps=20176, dayStart=2, dayEnd=6, targetSegment=[FEMALE], videoCoef=2.650461856267679, mobileCoef=2.0218937079309294, budgetMillis=0, advertiser=null]
08/11 14:34:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
08/11 14:34:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=273507228, reachImps=20176, dayStart=2, dayEnd=6, targetSegment=[FEMALE], videoCoef=2.650461856267679, mobileCoef=2.0218937079309294, budgetMillis=6310, advertiser=DummyAdnetwork-6]
08/11 14:34:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] DummyAdnetwork-7[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork[efday=1, level=1.0, price=0.0] 
08/11 14:34:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@621fdf42
08/11 14:34:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=2076834119, reachImps=3529, dayStart=3, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.5284345071599468, mobileCoef=2.3142705842513607, budgetMillis=0, advertiser=null]
08/11 14:34:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
08/11 14:34:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for hfn
08/11 14:34:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
08/11 14:34:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
08/11 14:34:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
08/11 14:34:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for target
08/11 14:34:10 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
08/11 14:34:10 SEVERE demand.CampaignImpl|Campaign #1497097527 impressed while over limit. Current cost: 3.042182271975054 Budget limit: 3.037
08/11 14:34:10 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 1497097527, daily limit was: 3037, 3.037 values are: 1395.1110601778303, 3.042182271975054, total limit was: 2147483647, Infinity total values are: 0.01395.1110601778303, 0.03.042182271975054
08/11 14:34:10 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=1497097527, AdNetwork=DummyAdnetwork-2] due to limit. My name is DummyAdnetwork-2
08/11 14:34:11 SEVERE demand.CampaignImpl|Campaign #1565617064 impressed while over limit. Current cost: 10.955147686694396 Budget limit: 10.952
08/11 14:34:11 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 1565617064, daily limit was: 10952, 10.952 values are: 5424.153780512917, 10.955147686694396, total limit was: 2147483647, Infinity total values are: 0.05424.153780512917, 0.010.955147686694396
08/11 14:34:11 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=1565617064, AdNetwork=DummyAdnetwork-6] due to limit. My name is DummyAdnetwork-6
08/11 14:34:12 SEVERE demand.CampaignImpl|Campaign #1064004131 impressed while over limit. Current cost: 0.0 Budget limit: 6.507
08/11 14:34:12 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 1064004131, daily limit was: 6507, 6.507 values are: 6508.3866892931865, 0.0, total limit was: 2147483647, Infinity total values are: 0.06508.3866892931865, 0.00.0
08/11 14:34:12 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=1064004131, AdNetwork=adv1] due to limit. My name is adv1
08/11 14:34:12 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 2137
08/11 14:34:12 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.12192411367775614 Cmp ID: 2076834119 Cmp Bid: 1932
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.19912957172455015 Cmp ID: 2076834119 Cmp Bid: 2174
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.1413635569459542 Cmp ID: 2076834119 Cmp Bid: 1100
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.19467716333811103 Cmp ID: 2076834119 Cmp Bid: 1004
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.15207357069286834 Cmp ID: 2076834119 Cmp Bid: 7
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.17021552333230955 Cmp ID: 2076834119 Cmp Bid: 648
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.10667554028366 Cmp ID: 2076834119 Cmp Bid: 3304
08/11 14:34:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1382503103587628 Cmp ID: 2076834119 Cmp Bid: 2038
08/11 14:34:20 INFO sim.Simulation|***** START OF TIME 2 *****
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1208878884 at price 9.54
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1208878884 at price 9.54
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1497097527 at price 3.037
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1497097527 at price 3.037
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #140321219 at price 9.54
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #140321219 at price 9.54
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #962238266 at price 1.932
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #962238266 at price 1.932
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2040881732 at price 1.932
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #2040881732 at price 1.932
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #273507228 at price 6.31
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #273507228 at price 6.31
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #794733556 at price 7.02
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #794733556 at price 7.02
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1064004131 at price 6.507
08/11 14:34:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1064004131 at price 6.507
08/11 14:34:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=2076834119, reachImps=3529, dayStart=3, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.5284345071599468, mobileCoef=2.3142705842513607, budgetMillis=0, advertiser=null]
08/11 14:34:20 FINE agents.DemandAgent|Day 2 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
08/11 14:34:20 FINE agents.DemandAgent|Day 2 :Reporting campaign auction results... CampaignImpl [id=2076834119, reachImps=3529, dayStart=3, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.5284345071599468, mobileCoef=2.3142705842513607, budgetMillis=2038, advertiser=adv1]
08/11 14:34:20 FINE agents.DemandAgent|Day 2 :Reporting UCS auction results... DummyAdnetwork-5[efday=2, level=1.0, price=0.18667912877464585] DummyAdnetwork-4[efday=2, level=0.81, price=0.1356095894082634] DummyAdnetwork-3[efday=2, level=0.6561000000000001, price=0.09882062986865088] adv1[efday=2, level=0.7290000000000001, price=0.12050848143105979] DummyAdnetwork-2[efday=2, level=0.5904900000000002, price=0.08620366873571814] DummyAdnetwork-7[efday=2, level=0.47829690000000014, price=0.0] DummyAdnetwork-6[efday=2, level=0.9, price=0.1647847694115637] DummyAdnetwork[efday=2, level=0.5314410000000002, price=0.061473528462974616] 
08/11 14:34:20 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@202cd507
08/11 14:34:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=497068469, reachImps=6184, dayStart=4, dayEnd=13, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.90416050097426, mobileCoef=1.506496682530233, budgetMillis=0, advertiser=null]
08/11 14:34:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
08/11 14:34:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for hfn
08/11 14:34:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
08/11 14:34:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
08/11 14:34:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
08/11 14:34:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for target
08/11 14:34:20 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
08/11 14:34:20 SEVERE demand.CampaignImpl|Campaign #2040881732 impressed while over limit. Current cost: 1.9338766948250885 Budget limit: 1.932
08/11 14:34:20 SEVERE agents.DemandAgent|Day 2 :Campaign limit expired Impressed while over limit: 2040881732, daily limit was: 1932, 1.932 values are: 1360.8201408119498, 1.9338766948250885, total limit was: 2147483647, Infinity total values are: 0.01360.8201408119498, 0.01.9338766948250885
08/11 14:34:20 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=2040881732, AdNetwork=DummyAdnetwork-5] due to limit. My name is DummyAdnetwork-5
08/11 14:34:21 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 1091
08/11 14:34:21 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.12548906393652534 Cmp ID: 497068469 Cmp Bid: 2567
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.13380945305445274 Cmp ID: 497068469 Cmp Bid: 74
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.10172038870893339 Cmp ID: 497068469 Cmp Bid: 2975
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.10512426076761379 Cmp ID: 497068469 Cmp Bid: 2018
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.1481000950277016 Cmp ID: 497068469 Cmp Bid: 5452
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.19128387080796438 Cmp ID: 497068469 Cmp Bid: 1708
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.11118110917068974 Cmp ID: 497068469 Cmp Bid: 2322
08/11 14:34:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from adv1 : UCS Bid: 0.10625416774291425 Cmp ID: 497068469 Cmp Bid: 1339
08/11 14:34:30 INFO sim.Simulation|***** START OF TIME 3 *****
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1208878884 at price 9.54
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1208878884 at price 9.54
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1497097527 at price 3.037
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1497097527 at price 3.037
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #140321219 at price 9.54
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #140321219 at price 9.54
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #962238266 at price 1.932
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #962238266 at price 1.932
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2040881732 at price 1.932
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #2040881732 at price 1.932
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #273507228 at price 6.31
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #273507228 at price 6.31
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #794733556 at price 7.02
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #794733556 at price 7.02
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2076834119 at price 2.038
08/11 14:34:30 INFO demand.CampaignImpl|Applied daily limit for campaign #2076834119 at price 2.038
08/11 14:34:30 INFO agents.DemandAgent|Day 3 : Auction pending campaign: CampaignImpl [id=497068469, reachImps=6184, dayStart=4, dayEnd=13, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.90416050097426, mobileCoef=1.506496682530233, budgetMillis=0, advertiser=null]
08/11 14:34:30 FINE agents.DemandAgent|Day 3 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
08/11 14:34:30 FINE agents.DemandAgent|Day 3 :Reporting campaign auction results... CampaignImpl [id=497068469, reachImps=6184, dayStart=4, dayEnd=13, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.90416050097426, mobileCoef=1.506496682530233, budgetMillis=1708, advertiser=adv1]
08/11 14:34:30 FINE agents.DemandAgent|Day 3 :Reporting UCS auction results... DummyAdnetwork-5[efday=3, level=0.7290000000000001, price=0.10305403301360062] DummyAdnetwork-4[efday=3, level=0.9, price=0.1531939709990786] DummyAdnetwork-3[efday=3, level=0.6561000000000001, price=0.0907060286263843] adv1[efday=3, level=0.5904900000000002, price=0.07199496988557824] DummyAdnetwork-2[efday=3, level=1.0, price=0.19467716333811103] DummyAdnetwork-7[efday=3, level=0.47829690000000014, price=0.0] DummyAdnetwork-6[efday=3, level=0.81, price=0.12317959226122337] DummyAdnetwork[efday=3, level=0.5314410000000002, price=0.05669175580388857] 
08/11 14:34:30 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@6a3c9fc9
08/11 14:34:30 INFO agents.DemandAgent|Day 3 :Notifying new campaign opportunity: CampaignImpl [id=2125998381, reachImps=6625, dayStart=5, dayEnd=14, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.643618258845211, mobileCoef=2.3509886959500155, budgetMillis=0, advertiser=null]
08/11 14:34:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
08/11 14:34:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for hfn
08/11 14:34:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
08/11 14:34:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
08/11 14:34:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
08/11 14:34:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for target
08/11 14:34:30 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
08/11 14:34:30 SEVERE demand.CampaignImpl|Campaign #962238266 impressed while over limit. Current cost: 0.0 Budget limit: 1.932
08/11 14:34:30 SEVERE agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 962238266, daily limit was: 50, 1.932 values are: 50.70709310563415, 0.0, total limit was: 2147483647, Infinity total values are: 2540.859307330524650.70709310563415, 1.68514630771428520.0
08/11 14:34:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=962238266, AdNetwork=DummyAdnetwork-4] due to limit. My name is DummyAdnetwork-4
08/11 14:34:30 SEVERE demand.CampaignImpl|Campaign #1497097527 impressed while over limit. Current cost: 0.003421205033828174 Budget limit: 3.037
08/11 14:34:30 SEVERE agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 1497097527, daily limit was: 1641, 3.037 values are: 1641.3054809542173, 0.003421205033828174, total limit was: 2147483647, Infinity total values are: 2195.81052533627641641.3054809542173, 3.0440234092652060.003421205033828174
