08/11 14:45:00 FINE sim.Admin|Log for simulation 2 started
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #898101735 at price 5.59
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #898101735 at price 5.59
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #133410643 at price 9.077
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #133410643 at price 9.077
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1680697118 at price 7.02
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1680697118 at price 7.02
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #458483802 at price 10.49
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #458483802 at price 10.49
08/11 14:45:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=81333724, reachImps=10088, dayStart=2, dayEnd=11, targetSegment=[FEMALE], videoCoef=2.4413760706516685, mobileCoef=1.94337427274523, budgetMillis=0, advertiser=null]
08/11 14:45:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
08/11 14:45:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=81333724, reachImps=10088, dayStart=2, dayEnd=11, targetSegment=[FEMALE], videoCoef=2.4413760706516685, mobileCoef=1.94337427274523, budgetMillis=5414, advertiser=DummyAdnetwork-2]
08/11 14:45:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] DummyAdnetwork-7[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork[efday=1, level=1.0, price=0.0] 
08/11 14:45:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@7cfdbfd5
08/11 14:45:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=1364089529, reachImps=1326, dayStart=3, dayEnd=12, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.361049046220803, mobileCoef=1.942682246030434, budgetMillis=0, advertiser=null]
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for hfn
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for ehow
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for yahoo
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for ebay
08/11 14:45:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for target
08/11 14:45:10 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
08/11 14:45:10 SEVERE demand.CampaignImpl|Campaign #745070302 impressed while over limit. Current cost: 3.3148813101878924 Budget limit: 3.312
08/11 14:45:10 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 745070302, daily limit was: 3312, 3.312 values are: 1525.0778110863296, 3.3148813101878924, total limit was: 2147483647, Infinity total values are: 0.01525.0778110863296, 0.03.3148813101878924
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=745070302, AdNetwork=adv1] due to limit. My name is adv1
08/11 14:45:10 SEVERE demand.CampaignImpl|Campaign #898101735 impressed while over limit. Current cost: 0.0 Budget limit: 5.59
08/11 14:45:10 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 898101735, daily limit was: 5590, 5.59 values are: 5591.0162662712755, 0.0, total limit was: 2147483647, Infinity total values are: 0.05591.0162662712755, 0.00.0
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=898101735, AdNetwork=DummyAdnetwork-4] due to limit. My name is DummyAdnetwork-4
08/11 14:45:10 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 819
08/11 14:45:10 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.15358712485783943 Cmp ID: 1364089529 Cmp Bid: 643
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.11434057397352924 Cmp ID: 1364089529 Cmp Bid: 657
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.19887241554220386 Cmp ID: 1364089529 Cmp Bid: 354
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.11897113943953262 Cmp ID: 1364089529 Cmp Bid: 76
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.1463016250377074 Cmp ID: 1364089529 Cmp Bid: 320
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.17051357014553326 Cmp ID: 1364089529 Cmp Bid: 218
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.12331392870996409 Cmp ID: 1364089529 Cmp Bid: 1296
08/11 14:45:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.1264344351516241 Cmp ID: 1364089529 Cmp Bid: 144
08/11 14:45:20 INFO sim.Simulation|***** START OF TIME 2 *****
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1670524696 at price 6.507
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1670524696 at price 6.507
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #81333724 at price 5.414
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #81333724 at price 5.414
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #745070302 at price 3.312
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #745070302 at price 3.312
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #62771287 at price 6.507
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #62771287 at price 6.507
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #898101735 at price 5.59
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #898101735 at price 5.59
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #133410643 at price 9.077
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #133410643 at price 9.077
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1680697118 at price 7.02
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1680697118 at price 7.02
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #458483802 at price 10.49
08/11 14:45:20 INFO demand.CampaignImpl|Applied daily limit for campaign #458483802 at price 10.49
08/11 14:45:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=1364089529, reachImps=1326, dayStart=3, dayEnd=12, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.361049046220803, mobileCoef=1.942682246030434, budgetMillis=0, advertiser=null]
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Reporting campaign auction results... CampaignImpl [id=1364089529, reachImps=1326, dayStart=3, dayEnd=12, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.361049046220803, mobileCoef=1.942682246030434, budgetMillis=218, advertiser=DummyAdnetwork-7]
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Reporting UCS auction results... DummyAdnetwork-5[efday=2, level=1.0, price=0.18443981541095292] DummyAdnetwork-4[efday=2, level=0.6561000000000001, price=0.09586698401120726] DummyAdnetwork-3[efday=2, level=0.5904900000000002, price=0.08427221542425942] adv1[efday=2, level=0.7290000000000001, price=0.10924871254203836] DummyAdnetwork-2[efday=2, level=0.47829690000000014, price=0.0] DummyAdnetwork-7[efday=2, level=0.9, price=0.14355091779251447] DummyAdnetwork-6[efday=2, level=0.81, price=0.12777563568219544] DummyAdnetwork[efday=2, level=0.5314410000000002, price=0.07067471150956815] 
08/11 14:45:20 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@20bafe62
08/11 14:45:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=833158839, reachImps=27055, dayStart=4, dayEnd=13, targetSegment=[OLD], videoCoef=2.5512347755058187, mobileCoef=2.1069260734746953, budgetMillis=0, advertiser=null]
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for hfn
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for ehow
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for yahoo
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for ebay
08/11 14:45:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for target
08/11 14:45:20 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
08/11 14:45:20 SEVERE demand.CampaignImpl|Campaign #62771287 impressed while over limit. Current cost: 6.507241746322572 Budget limit: 6.507
08/11 14:45:20 SEVERE agents.DemandAgent|Day 2 :Campaign limit expired Impressed while over limit: 62771287, daily limit was: 6507, 6.507 values are: 2333.034925084714, 6.507241746322572, total limit was: 2147483647, Infinity total values are: 703.61070564781632333.034925084714, 1.30720813086076426.507241746322572
08/11 14:45:20 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=62771287, AdNetwork=DummyAdnetwork-3] due to limit. My name is DummyAdnetwork-3
08/11 14:45:20 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 526
08/11 14:45:20 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.10130625996296633 Cmp ID: 833158839 Cmp Bid: 16700
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.12783549130865768 Cmp ID: 833158839 Cmp Bid: 1919
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1734014070103797 Cmp ID: 833158839 Cmp Bid: 7172
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.11371996926692463 Cmp ID: 833158839 Cmp Bid: 2940
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.14142602361727538 Cmp ID: 833158839 Cmp Bid: 18078
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.12215265166182149 Cmp ID: 833158839 Cmp Bid: 10497
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.14771298203307387 Cmp ID: 833158839 Cmp Bid: 14337
08/11 14:45:20 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.14557614584756062 Cmp ID: 833158839 Cmp Bid: 5804
08/11 14:45:30 INFO sim.Simulation|***** START OF TIME 3 *****
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1670524696 at price 6.507
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1670524696 at price 6.507
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #81333724 at price 5.414
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #81333724 at price 5.414
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #745070302 at price 3.312
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #745070302 at price 3.312
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #62771287 at price 6.507
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #62771287 at price 6.507
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #133410643 at price 9.077
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #133410643 at price 9.077
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1680697118 at price 7.02
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1680697118 at price 7.02
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1364089529 at price 0.218
08/11 14:45:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1364089529 at price 0.218
08/11 14:45:30 INFO agents.DemandAgent|Day 3 : Auction pending campaign: CampaignImpl [id=833158839, reachImps=27055, dayStart=4, dayEnd=13, targetSegment=[OLD], videoCoef=2.5512347755058187, mobileCoef=2.1069260734746953, budgetMillis=0, advertiser=null]
08/11 14:45:30 FINE agents.DemandAgent|Day 3 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
08/11 14:45:30 FINE agents.DemandAgent|Day 3 :Reporting campaign auction results... CampaignImpl [id=833158839, reachImps=27055, dayStart=4, dayEnd=13, targetSegment=[OLD], videoCoef=2.5512347755058187, mobileCoef=2.1069260734746953, budgetMillis=5804, advertiser=DummyAdnetwork-3]
08/11 14:45:30 FINE agents.DemandAgent|Day 3 :Reporting UCS auction results... DummyAdnetwork-5[efday=3, level=0.9, price=0.1382284123720555] DummyAdnetwork-4[efday=3, level=0.7290000000000001, price=0.09217070322553399] DummyAdnetwork-3[efday=3, level=0.5314410000000002, price=0.060765268973066375] adv1[efday=3, level=1.0, price=0.17051357014553326] DummyAdnetwork-2[efday=3, level=0.47829690000000014, price=0.0] DummyAdnetwork-7[efday=3, level=0.6561000000000001, price=0.08090626862660745] DummyAdnetwork-6[efday=3, level=0.5904900000000002, price=0.07025126812764965] DummyAdnetwork[efday=3, level=0.81, price=0.11850431628054302] 
08/11 14:45:30 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@4b96e26f
08/11 14:45:30 INFO agents.DemandAgent|Day 3 :Notifying new campaign opportunity: CampaignImpl [id=1017666705, reachImps=3092, dayStart=5, dayEnd=9, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.868392654382161, mobileCoef=2.456101203531147, budgetMillis=0, advertiser=null]
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for hfn
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for ehow
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for yahoo
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for ebay
08/11 14:45:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for target
08/11 14:45:30 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
08/11 14:45:30 SEVERE demand.CampaignImpl|Campaign #133410643 impressed while over limit. Current cost: 1.459502355942271 Budget limit: 9.077
08/11 14:45:30 SEVERE agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 133410643, daily limit was: 2315, 9.077 values are: 2316.0549208808757, 1.459502355942271, total limit was: 2147483647, Infinity total values are: 8555.3897786229352316.0549208808757, 10.0848722198789281.459502355942271
08/11 14:45:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=133410643, AdNetwork=DummyAdnetwork-5] due to limit. My name is DummyAdnetwork-5
08/11 14:45:30 SEVERE demand.CampaignImpl|Campaign #1680697118 impressed while over limit. Current cost: 3.0906055552039984 Budget limit: 7.02
