15/11 11:30:00 FINE sim.Admin|Log for simulation 3 started
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1470429600, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.03151772901229, mobileCoef=2.0857031461811593, budgetMillis=3312, advertiser=DummyAdnetwork-5]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@29bcf6ee
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1956773173, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.5450151308430518, mobileCoef=1.9994727720637253, budgetMillis=1932, advertiser=DummyAdnetwork-6]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@5d078dcf
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=756942390, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.898432930783759, mobileCoef=1.7840042639000184, budgetMillis=10490, advertiser=DummyAdnetwork-7]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@63db9efd
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@18e88fe6
15/11 11:30:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=2036338881, reachImps=775, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, MALE, YOUNG], videoCoef=2.9001045989977086, mobileCoef=1.8000479943376044, budgetMillis=0, advertiser=null]
15/11 11:30:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.13949007026833554 Cmp ID: 2036338881 Cmp Bid: 403
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.10871171440673147 Cmp ID: 2036338881 Cmp Bid: 248
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.19021680211443237 Cmp ID: 2036338881 Cmp Bid: 426
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.13690580305407596 Cmp ID: 2036338881 Cmp Bid: 602
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.13360025434118944 Cmp ID: 2036338881 Cmp Bid: 703
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.14440785247814197 Cmp ID: 2036338881 Cmp Bid: 75
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.14960278716998987 Cmp ID: 2036338881 Cmp Bid: 46
15/11 11:30:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.1497711141158072 Cmp ID: 2036338881 Cmp Bid: 421
15/11 11:30:10 INFO sim.Simulation|***** START OF TIME 1 *****
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #463813514 at price 3.037
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #463813514 at price 3.037
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #169401151 at price 6.507
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #169401151 at price 6.507
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #490464084 at price 3.037
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #490464084 at price 3.037
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2008374946 at price 1.932
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #2008374946 at price 1.932
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1470429600 at price 3.312
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1470429600 at price 3.312
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1956773173 at price 1.932
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1956773173 at price 1.932
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #756942390 at price 10.49
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #756942390 at price 10.49
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1045934031 at price 1.932
15/11 11:30:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1045934031 at price 1.932
15/11 11:30:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=2036338881, reachImps=775, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, MALE, YOUNG], videoCoef=2.9001045989977086, mobileCoef=1.8000479943376044, budgetMillis=0, advertiser=null]
15/11 11:30:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
15/11 11:30:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=2036338881, reachImps=775, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, MALE, YOUNG], videoCoef=2.9001045989977086, mobileCoef=1.8000479943376044, budgetMillis=403, advertiser=DummyAdnetwork-2]
15/11 11:30:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] DummyAdnetwork-7[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork[efday=1, level=1.0, price=0.0] 
15/11 11:30:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@683c7f9c
15/11 11:30:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=1400773530, reachImps=3092, dayStart=3, dayEnd=7, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.263970927677102, mobileCoef=1.5704494935985056, budgetMillis=0, advertiser=null]
15/11 11:30:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for amazon
15/11 11:30:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
15/11 11:30:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for yahoo
15/11 11:30:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
15/11 11:30:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for weather
15/11 11:30:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
15/11 11:30:10 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
15/11 11:30:10 SEVERE demand.CampaignImpl|Campaign #463813514 impressed while over limit. Current cost: 3.037656765299746 Budget limit: 3.037
15/11 11:30:10 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 463813514, daily limit was: 3037, 3.037 values are: 746.3000038219242, 3.037656765299746, total limit was: 2147483647, Infinity total values are: 0.0746.3000038219242, 0.03.037656765299746
15/11 11:30:10 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=463813514, AdNetwork=DummyAdnetwork] due to limit. My name is DummyAdnetwork
15/11 11:30:11 SEVERE demand.CampaignImpl|Campaign #2008374946 impressed while over limit. Current cost: 1.9327856820715648 Budget limit: 1.932
15/11 11:30:11 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 2008374946, daily limit was: 1932, 1.932 values are: 956.5725609304549, 1.9327856820715648, total limit was: 2147483647, Infinity total values are: 0.0956.5725609304549, 0.01.9327856820715648
15/11 11:30:11 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=2008374946, AdNetwork=DummyAdnetwork-4] due to limit. My name is DummyAdnetwork-4
15/11 11:30:12 SEVERE demand.CampaignImpl|Campaign #756942390 impressed while over limit. Current cost: 10.245473522254114 Budget limit: 10.49
15/11 11:30:12 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 756942390, daily limit was: 10490, 10.49 values are: 10491.879991384612, 10.245473522254114, total limit was: 2147483647, Infinity total values are: 0.010491.879991384612, 0.010.245473522254114
15/11 11:30:12 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=756942390, AdNetwork=DummyAdnetwork-7] due to limit. My name is DummyAdnetwork-7
15/11 11:30:12 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 2215
15/11 11:30:12 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.11948058994476679 Cmp ID: 1400773530 Cmp Bid: 889
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.1549373750190967 Cmp ID: 1400773530 Cmp Bid: 1905
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.16811842042894493 Cmp ID: 1400773530 Cmp Bid: 1006
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.11839679366506001 Cmp ID: 1400773530 Cmp Bid: 488
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.15490801077124922 Cmp ID: 1400773530 Cmp Bid: 661
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.1297906886718452 Cmp ID: 1400773530 Cmp Bid: 759
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.16519026298245848 Cmp ID: 1400773530 Cmp Bid: 1781
15/11 11:30:12 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.19993327496678653 Cmp ID: 1400773530 Cmp Bid: 1536
15/11 11:30:20 INFO sim.Simulation|***** START OF TIME 2 *****
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #463813514 at price 3.037
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #463813514 at price 3.037
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2036338881 at price 0.403
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #2036338881 at price 0.403
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #490464084 at price 3.037
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #490464084 at price 3.037
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2008374946 at price 1.932
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #2008374946 at price 1.932
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1470429600 at price 3.312
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1470429600 at price 3.312
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1956773173 at price 1.932
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1956773173 at price 1.932
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #756942390 at price 10.49
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #756942390 at price 10.49
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1045934031 at price 1.932
15/11 11:30:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1045934031 at price 1.932
15/11 11:30:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=1400773530, reachImps=3092, dayStart=3, dayEnd=7, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.263970927677102, mobileCoef=1.5704494935985056, budgetMillis=0, advertiser=null]
15/11 11:30:20 FINE agents.DemandAgent|Day 2 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
15/11 11:30:20 FINE agents.DemandAgent|Day 2 :Reporting campaign auction results... CampaignImpl [id=1400773530, reachImps=3092, dayStart=3, dayEnd=7, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.263970927677102, mobileCoef=1.5704494935985056, budgetMillis=1536, advertiser=adv1]
15/11 11:30:20 FINE agents.DemandAgent|Day 2 :Reporting UCS auction results... DummyAdnetwork-5[efday=2, level=0.7290000000000001, price=0.10168826122561662] DummyAdnetwork-4[efday=2, level=0.5314410000000002, price=0.057773862216027795] DummyAdnetwork-3[efday=2, level=1.0, price=0.1497711141158072] adv1[efday=2, level=0.5904900000000002, price=0.07888961418592898] DummyAdnetwork-2[efday=2, level=0.47829690000000014, price=0.0] DummyAdnetwork-7[efday=2, level=0.9, price=0.1346425084529909] DummyAdnetwork-6[efday=2, level=0.81, price=0.11697036050729501] DummyAdnetwork[efday=2, level=0.6561000000000001, price=0.08982389738377926] 
15/11 11:30:20 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@62a3e758
15/11 11:30:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=701332799, reachImps=3092, dayStart=4, dayEnd=8, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.555244645386408, mobileCoef=2.2035644463301383, budgetMillis=0, advertiser=null]
15/11 11:30:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for amazon
15/11 11:30:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
15/11 11:30:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for yahoo
15/11 11:30:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
15/11 11:30:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for weather
15/11 11:30:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
15/11 11:30:20 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
15/11 11:30:20 SEVERE demand.CampaignImpl|Campaign #1470429600 impressed while over limit. Current cost: 3.3141532941467045 Budget limit: 3.312
15/11 11:30:20 SEVERE agents.DemandAgent|Day 2 :Campaign limit expired Impressed while over limit: 1470429600, daily limit was: 3312, 3.312 values are: 1399.2486028768003, 3.3141532941467045, total limit was: 2147483647, Infinity total values are: 670.04453299917151399.2486028768003, 1.19561473019987393.3141532941467045
15/11 11:30:20 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=1470429600, AdNetwork=DummyAdnetwork-5] due to limit. My name is DummyAdnetwork-5
15/11 11:30:21 SEVERE demand.CampaignImpl|Campaign #756942390 impressed while over limit. Current cost: 0.0 Budget limit: 10.49
15/11 11:30:21 SEVERE agents.DemandAgent|Day 2 :Campaign limit expired Impressed while over limit: 756942390, daily limit was: 10490, 10.49 values are: 10491.2043905784, 0.0, total limit was: 2147483647, Infinity total values are: 10491.87999138461210491.2043905784, 10.2454735222541140.0
15/11 11:30:21 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=756942390, AdNetwork=DummyAdnetwork-7] due to limit. My name is DummyAdnetwork-7
15/11 11:30:21 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 1058
15/11 11:30:21 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from adv1 : UCS Bid: 0.15471564714872815 Cmp ID: 701332799 Cmp Bid: 1038
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.12728717073556964 Cmp ID: 701332799 Cmp Bid: 528
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.18885156122078034 Cmp ID: 701332799 Cmp Bid: 900
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.19287615101059202 Cmp ID: 701332799 Cmp Bid: 1111
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.14493487405133157 Cmp ID: 701332799 Cmp Bid: 2133
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.11471435681343169 Cmp ID: 701332799 Cmp Bid: 1917
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.10535610223903263 Cmp ID: 701332799 Cmp Bid: 523
15/11 11:30:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.188706071290088 Cmp ID: 701332799 Cmp Bid: 2214
15/11 11:30:30 INFO sim.Simulation|***** START OF TIME 3 *****
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1400773530 at price 1.536
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1400773530 at price 1.536
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #463813514 at price 3.037
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #463813514 at price 3.037
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2036338881 at price 0.403
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #2036338881 at price 0.403
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #490464084 at price 3.037
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #490464084 at price 3.037
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2008374946 at price 1.932
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #2008374946 at price 1.932
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1470429600 at price 3.312
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1470429600 at price 3.312
15/11 11:30:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1956773173 at price 1.932
15/11 11:30:30 INFO demand.CampaignImpl|Applied daily limit for campaign #1956773173 at price 1.932
15/11 11:30:30 INFO agents.DemandAgent|Day 3 : Auction pending campaign: CampaignImpl [id=701332799, reachImps=3092, dayStart=4, dayEnd=8, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.555244645386408, mobileCoef=2.2035644463301383, budgetMillis=0, advertiser=null]
15/11 11:30:30 FINE agents.DemandAgent|Day 3 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
15/11 11:30:30 FINE agents.DemandAgent|Day 3 :Reporting campaign auction results... CampaignImpl [id=701332799, reachImps=3092, dayStart=4, dayEnd=8, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.555244645386408, mobileCoef=2.2035644463301383, budgetMillis=523, advertiser=DummyAdnetwork-6]
15/11 11:30:30 FINE agents.DemandAgent|Day 3 :Reporting UCS auction results... DummyAdnetwork-5[efday=3, level=0.6561000000000001, price=0.08515567083759766] DummyAdnetwork-4[efday=3, level=0.47829690000000014, price=0.0] DummyAdnetwork-3[efday=3, level=0.9, price=0.14867123668421264] adv1[efday=3, level=1.0, price=0.16811842042894493] DummyAdnetwork-2[efday=3, level=0.7290000000000001, price=0.1129279398522407] DummyAdnetwork-7[efday=3, level=0.81, price=0.12549927376546835] DummyAdnetwork-6[efday=3, level=0.5904900000000002, price=0.07055209355648537] DummyAdnetwork[efday=3, level=0.5314410000000002, price=0.06292091042215317] 
15/11 11:30:30 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@145aff7c
15/11 11:30:30 INFO agents.DemandAgent|Day 3 :Notifying new campaign opportunity: CampaignImpl [id=1127583390, reachImps=512, dayStart=5, dayEnd=14, targetSegment=[HIGH_INCOME, YOUNG, FEMALE], videoCoef=2.140129556009985, mobileCoef=1.5283824779447304, budgetMillis=0, advertiser=null]
15/11 11:30:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for amazon
15/11 11:30:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
15/11 11:30:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for yahoo
15/11 11:30:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
15/11 11:30:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for weather
15/11 11:30:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
15/11 11:30:30 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
15/11 11:30:30 SEVERE demand.CampaignImpl|Campaign #1470429600 impressed while over limit. Current cost: 3.3151811497134456 Budget limit: 3.312
15/11 11:30:30 SEVERE agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 1470429600, daily limit was: 2641, 3.312 values are: 1398.0448653184953, 3.3151811497134456, total limit was: 2147483647, Infinity total values are: 2069.29313587597151398.0448653184953, 4.5097680243465783.3151811497134456
